Rater;ID1_1_M_CMR13_DSC_0023;ID2_2_M_CMR13_DSC_0033;ID3_1_M_CMR13_DSC_0025;ID4_1_M_CMR13_DSC_0028;ID9_2_M_CMR13_DSC_0061;ID10_2_M_CMR13_DSC_0065;ID11_3_M_CMR13_DSC_0082;ID12_1_M_CMR13_DSC_0076;ID13_1_M_CMR13_DSC_0052;ID14_1_M_CMR13_DSC_0072;ID15_1_M_CMR13_DSC_0056;ID16_2_M_CMR13_DSC_0069;ID21_2_M_CMR13_DSC_0019;ID22_2_M_CMR13_DSC_0023;ID23_1_M_CMR13_DSC_0030;ID24_2_M_CMR13_DSC_0027;ID29_1_M_CMR13_DSC_0146;ID30_2_M_CMR13_DSC_0151;ID31_2_M_CMR13_DSC_0155;ID32_2_M_CMR13_DSC_0142;ID45_2_M_CMR13_DSC_0220;ID46_1_M_CMR13_DSC_0207;ID47_1_M_CMR13_DSC_0215;ID48_1_M_CMR13_DSC_0211;ID49_1_M_CMR13_DSC_0235;ID50_2_M_CMR13_DSC_0232;ID51_1_M_CMR13_DSC_0223;ID57_2_M_CMR13_DSC_0260;ID58_1_M_CMR13_DSC_0267;ID59_1_M_CMR13_DSC_0263;ID60_1_M_CMR13_DSC_0255;ID69_2_M_CMR13_DSC_0309;ID70_1_M_CMR13_DSC_0312;ID71_1_M_CMR13_DSC_0304;ID72_1_M_CMR13_DSC_0316;ID77_1_M_CMR13_DSC_DSC_0350;ID78_2_M_CMR13_DSC_DSC_0343;ID79_2_M_CMR13_DSC_DSC_0347;ID80_2_M_CMR13_DSC_0339;ID85_2_M_CMR13_DSC_0372;ID86_1_M_CMR13_DSC_0383;ID87_1_M_CMR13_DSC_0379;ID88_1_M_CMR13_DSC_0375;ID93_3_F_CMR13_DSC_0408;ID94_1_M_CMR13_DSC_0419;ID95_1_M_CMR13_DSC_0411;ID96_1_M_CMR13_DSC_0415;ID99_1_M_CMR13_DSC_0431;ID100_1_M_CMR13_DSC_0423
CMR_M_Masc1;6;6;4;6;5;5;5;6;2;6;5;5;7;6;6;6;7;7;7;7;7;5;5;6;5;5;7;6;6;4;6;7;6;7;7;6;7;7;7;6;4;7;6;6;6;6;5;6;6
CMR_M_Masc2;6;3;5;7;7;4;4;6;4;7;5;7;7;7;5;6;6;5;6;7;6;4;7;4;6;5;6;5;5;4;7;7;5;4;4;6;7;6;7;7;4;5;3;7;6;7;5;6;7
CMR_M_Masc3;6;6;4;5;6;5;5;5;4;5;6;5;5;5;5;6;5;6;4;4;5;6;3;5;5;3;5;4;5;4;4;6;6;4;4;5;4;6;3;4;5;5;4;4;4;7;5;6;6
CMR_M_Masc4;7;7;7;6;7;7;7;7;5;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;5;7;7;7;6;7;7;7;6;7;7;5;6;7;7;7;7;6;7;7;7;7;6;6
CMR_M_Masc5;5;6;6;6;5;5;6;7;4;5;5;6;5;6;5;7;6;5;6;5;5;6;7;5;6;6;6;6;5;6;7;6;6;6;6;6;5;6;5;6;5;6;7;5;6;6;6;5;6
CMR_M_Masc6;6;6;4;5;4;4;3;5;5;2;5;5;4;5;4;4;3;3;5;6;3;4;4;5;4;4;6;4;5;4;3;4;7;4;4;4;5;3;4;5;4;3;4;3;4;6;5;5;4
CMR_M_Masc7;7;5;5;6;6;6;4;6;7;7;6;7;7;7;6;5;7;6;7;6;7;6;6;7;7;7;6;7;7;6;7;7;7;7;7;7;7;7;7;7;6;7;5;7;6;7;6;7;7
CMR_M_Masc8;6;3;3;7;5;6;2;5;3;7;7;7;7;4;6;3;6;7;7;7;7;5;7;5;7;1;7;5;3;6;5;4;6;5;5;7;7;2;4;5;4;7;3;3;6;6;4;3;6
CMR_M_Masc9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7
CMR_M_Masc10;4;6;7;5;7;6;4;7;3;7;5;6;7;5;6;5;3;5;7;4;2;4;5;6;6;2;3;5;5;5;3;6;7;5;5;6;1;5;4;5;5;7;4;6;6;6;5;2;4
CMR_M_Masc11;6;7;4;7;5;6;5;7;3;7;7;7;6;7;6;6;6;7;7;7;7;5;5;6;7;5;7;5;6;5;7;7;6;7;7;6;7;7;7;6;6;5;7;6;7;6;6;5;6
CMR_M_Masc12;7;7;6;7;6;7;6;7;6;6;6;7;7;6;7;7;7;7;7;7;7;6;7;6;7;6;7;6;6;7;7;7;7;6;6;7;7;6;6;7;6;7;6;6;6;6;7;6;6
CMR_M_Masc13;7;6;5;6;6;7;5;7;6;7;6;7;7;7;7;7;6;7;7;7;6;5;7;6;7;5;6;7;5;6;7;7;6;6;7;7;7;7;7;6;7;6;5;5;5;7;6;4;6
CMR_M_Masc14;7;4;4;5;7;4;5;6;1;7;4;5;7;5;5;4;3;5;6;3;4;2;3;2;6;2;5;5;3;5;4;5;6;4;4;5;4;3;5;5;2;7;6;4;5;6;4;3;3
CMR_M_Masc15;4;7;7;7;4;7;7;7;2;1;7;7;7;1;7;7;5;5;7;7;2;7;6;7;7;3;7;2;1;7;1;7;7;4;6;3;1;2;6;7;4;3;4;3;4;1;7;1;6
CMR_M_Masc16;6;5;7;5;5;5;4;6;1;7;5;7;6;5;5;7;3;4;5;7;5;4;6;2;5;4;5;6;5;3;5;6;5;4;6;5;3;4;4;2;7;5;5;6;5;6;3;3;5
CMR_M_Masc17;5;7;4;7;7;6;6;6;4;7;6;6;6;6;7;5;7;6;6;6;5;6;6;5;7;4;5;5;6;5;7;5;6;5;6;7;4;4;5;5;6;7;6;5;5;4;4;5;6
CMR_M_Masc18;3;5;5;4;5;6;4;6;3;5;3;4;5;4;5;5;3;4;4;5;4;4;3;4;4;3;6;4;3;5;4;5;5;4;5;5;4;4;3;6;5;4;3;4;3;5;5;3;5
CMR_M_Masc19;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
CMR_M_Masc20;6;7;5;7;6;7;7;7;6;6;7;7;7;7;7;6;5;6;7;7;6;6;7;6;7;4;7;7;7;6;5;7;7;1;7;7;5;7;7;7;6;6;2;7;5;7;7;4;7
CMR_M_Masc21;6;7;3;7;6;5;4;7;3;7;6;7;7;7;7;6;6;6;7;7;7;4;7;3;7;3;7;7;6;4;7;7;6;4;6;6;4;5;7;7;3;6;5;7;5;5;6;6;6
CMR_M_Masc22;5;5;5;6;5;6;6;6;6;5;5;6;5;4;7;5;4;7;7;5;6;5;5;5;6;4;4;3;6;5;6;5;5;5;6;6;5;6;3;6;5;3;5;5;6;6;7;3;5
CMR_M_Masc23;2;4;4;5;5;5;4;5;2;6;5;3;4;5;5;4;5;5;3;4;5;2;4;2;5;2;4;2;4;3;2;4;5;2;4;6;4;4;4;3;3;3;4;3;5;5;3;3;2
CMR_M_Masc24;5;6;5;6;6;6;4;6;5;7;6;6;5;5;6;5;6;6;7;6;6;5;6;5;6;5;5;6;4;6;5;6;6;5;6;6;6;5;4;6;6;5;5;5;5;6;6;5;6
CMR_M_Masc25;7;7;5;5;3;5;5;5;4;5;5;6;4;3;7;5;3;7;6;5;7;3;6;6;5;3;5;6;3;3;4;5;3;6;6;7;6;6;3;5;7;4;3;6;4;7;5;4;6
CMR_M_Masc26;5;4;7;6;7;5;5;6;3;7;6;5;6;6;6;5;7;6;6;7;6;6;7;4;5;4;6;5;4;4;6;5;5;4;5;6;5;4;6;7;4;6;4;5;4;4;6;4;6
CMR_M_Masc27;4;6;7;5;7;7;5;5;2;7;6;5;6;6;6;5;5;7;6;4;7;4;7;5;5;4;5;5;6;5;4;6;5;3;6;6;4;5;6;3;4;6;4;6;5;6;6;3;4
CMR_M_Masc28;6;5;2;5;6;5;2;6;2;7;5;4;6;6;7;6;4;5;6;5;6;3;7;6;7;4;6;5;5;4;7;5;5;7;4;7;5;6;5;3;6;2;6;6;5;5;3;2;6
CMR_M_Masc29;5;5;3;6;6;3;6;7;3;7;6;7;6;2;7;6;6;7;6;7;7;1;6;1;4;2;4;7;4;5;6;5;4;3;6;7;3;5;6;4;2;6;6;5;7;4;3;1;6
CMR_M_Masc30;6;5;6;7;7;7;6;7;5;7;7;7;6;6;7;7;5;7;7;7;5;6;6;7;7;6;6;6;7;6;7;7;7;6;7;7;6;7;7;6;7;6;6;7;6;6;5;6;6
CMR_M_Masc31;5;4;2;7;7;6;4;7;5;7;4;6;6;7;6;5;6;7;7;7;7;6;6;3;6;4;7;6;3;4;6;4;6;3;7;7;4;4;5;6;3;5;5;6;6;6;6;3;6
CMR_M_Masc32;6;6;5;5;4;4;5;6;3;6;5;7;7;6;7;6;7;5;7;7;4;5;5;5;6;4;7;5;6;5;5;4;7;7;5;5;7;5;4;4;7;4;3;7;7;5;3;6;4
CMR_M_Masc33;6;7;7;7;7;7;6;6;1;7;7;7;6;7;7;7;5;7;7;6;7;7;7;6;7;6;5;6;7;6;7;7;7;7;7;7;5;7;7;7;6;7;5;7;7;3;7;6;4
CMR_M_Masc34;4;5;3;3;7;5;4;6;3;5;5;4;5;5;3;3;3;3;5;4;3;2;3;6;4;3;4;3;3;7;3;4;6;2;4;4;2;3;2;3;3;4;3;4;2;7;5;4;5
CMR_M_Masc35;6;5;6;7;4;6;4;6;3;7;5;7;5;7;7;7;5;7;7;6;7;5;7;7;7;3;6;5;3;6;6;7;6;2;6;7;6;5;3;7;5;6;2;5;3;5;6;2;6
CMR_M_Masc36;2;2;2;2;7;3;2;5;1;7;4;7;5;5;7;4;4;7;6;2;3;2;2;3;4;1;2;2;4;1;2;2;6;1;6;6;1;5;3;4;1;6;1;5;5;5;3;1;3
CMR_M_Masc37;7;6;3;7;7;7;3;7;5;7;6;7;7;4;7;3;5;7;6;6;7;5;7;4;7;2;6;6;2;4;7;6;7;4;6;7;7;7;4;6;1;5;6;4;4;6;5;3;6
CMR_M_Masc38;7;7;6;7;7;6;7;7;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;3;6;3;7;7;5;6;7;7;7;7;7;7;7;4;7;7;4;7;7;7;4;6;6;3;7
CMR_M_Masc39;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;6;6;6;7;7;7;7;7;6;7;7;6;7;7;7;6;7;6;7;7;7;6;7;6
CMR_M_Masc40;5;6;6;7;6;7;6;7;6;7;6;7;7;7;6;5;6;5;5;6;6;7;7;5;5;4;6;6;6;7;6;7;7;3;6;6;4;5;5;5;6;6;7;7;4;7;5;6;4
CMR_M_Masc41;7;7;7;6;7;7;7;7;5;7;7;7;7;7;7;7;7;7;5;7;5;7;7;7;7;7;7;7;7;7;7;7;7;5;7;7;5;7;7;7;7;7;5;7;7;7;7;7;7
CMR_M_Masc42;6;7;7;6;7;6;6;7;4;7;6;6;7;6;6;6;7;6;6;6;6;7;7;5;6;5;7;6;6;6;6;6;7;3;6;6;6;7;6;7;6;6;5;7;4;7;6;5;7
CMR_M_Masc43;5;5;5;5;4;5;6;7;3;7;5;6;6;6;6;5;5;6;7;5;7;4;7;3;6;4;6;6;5;5;4;5;6;6;6;7;6;5;5;6;6;7;5;4;7;6;5;3;4
CMR_M_Masc44;6;7;6;7;6;7;7;7;4;7;7;7;6;7;7;7;6;7;7;7;7;6;7;5;7;6;7;6;6;7;7;6;7;7;7;7;6;7;6;6;7;6;6;6;7;6;7;6;7
CMR_M_Masc45;7;2;5;7;6;7;5;7;2;7;6;7;7;7;5;7;4;6;6;6;6;5;6;2;7;2;7;6;5;6;4;7;7;2;7;7;2;7;7;5;7;6;6;7;6;6;7;2;2
CMR_M_Masc46;6;6;7;7;6;7;7;5;3;6;6;5;7;6;5;6;7;6;7;5;7;6;5;6;7;6;4;5;3;5;6;7;5;5;5;7;6;6;6;6;7;4;2;5;5;7;5;4;7
CMR_M_Masc47;6;7;3;7;3;6;2;7;3;7;7;7;6;6;7;6;2;6;7;6;6;7;6;5;7;4;5;6;6;3;5;7;7;6;7;7;3;6;6;7;4;5;5;6;6;7;7;4;5
CMR_M_Masc48;5;6;5;5;6;5;5;5;3;6;4;6;5;5;5;5;6;5;5;6;6;6;4;6;6;5;5;6;6;5;5;6;6;5;4;6;5;5;5;6;5;5;6;6;5;6;6;5;5
CMR_M_Masc49;6;7;7;7;7;7;7;7;5;7;7;7;7;6;7;6;5;7;7;7;7;7;7;6;7;5;7;7;6;6;7;7;7;5;7;6;5;6;7;5;6;6;7;7;7;7;7;5;5
CMR_M_Masc50;3;7;1;7;7;3;5;7;1;6;6;6;7;7;7;7;5;7;6;6;4;7;6;5;5;4;2;3;4;4;5;6;7;2;5;7;7;7;3;6;7;5;6;5;2;6;6;6;7
CMR_M_Masc51;6;5;5;7;7;7;6;7;4;7;6;7;7;7;7;6;5;7;7;NA;7;6;6;7;7;5;7;6;6;7;6;7;7;4;7;7;5;6;5;7;6;6;7;7;7;7;6;4;6
CMR_M_Masc52;7;7;6;6;7;7;7;7;6;7;7;7;7;7;7;7;6;7;7;7;6;7;7;7;7;6;7;7;6;6;7;7;7;5;7;7;6;6;7;7;7;7;7;7;7;7;7;7;6
CMR_M_Masc53;5;3;6;4;7;7;4;4;3;7;5;6;6;6;6;6;4;4;3;3;2;3;5;7;5;4;5;5;3;4;2;4;7;6;3;6;2;4;4;4;4;5;2;5;6;6;4;3;3
CMR_M_Masc54;6;4;5;7;7;5;5;7;4;7;5;7;7;7;7;6;5;6;7;6;7;4;7;5;6;3;7;7;7;4;5;5;7;6;7;7;7;5;7;6;5;7;3;7;5;7;5;6;6
CMR_M_Masc55;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
CMR_M_Masc56;6;6;5;6;7;6;6;5;5;7;6;7;7;6;7;6;5;7;7;7;5;5;7;6;6;5;6;6;6;6;5;7;7;5;6;7;6;6;5;6;5;5;5;6;6;7;6;4;7
CMR_M_Masc57;6;5;3;7;5;5;6;4;5;7;3;6;5;5;7;5;7;6;7;5;5;5;6;4;6;2;4;3;5;7;7;5;7;5;4;6;4;6;5;5;4;7;6;6;5;4;5;3;6
CMR_M_Masc58;5;4;5;6;5;7;5;6;2;7;6;6;5;5;6;5;7;6;6;6;5;4;7;3;7;4;5;5;4;6;5;6;6;5;6;6;3;3;6;5;3;7;3;6;4;6;7;5;6
CMR_M_Masc59;3;5;7;7;7;6;6;7;5;7;6;6;5;2;7;5;4;7;7;7;6;5;6;6;7;4;6;6;3;5;3;7;5;5;5;7;7;3;5;6;5;6;6;7;6;5;6;4;7
CMR_M_Masc60;5;6;7;5;7;5;6;7;4;7;7;7;6;6;6;5;6;7;5;6;5;5;4;5;6;4;5;6;5;6;5;4;7;5;7;7;5;5;5;6;4;6;5;7;7;5;6;3;5
CMR_M_Masc61;5;4;4;7;5;4;3;7;3;7;6;6;6;7;5;6;4;4;7;7;6;3;6;2;5;3;4;4;3;4;7;7;5;3;7;7;7;3;6;6;6;7;6;6;5;6;4;1;6
CMR_M_Masc62;4;4;5;6;7;7;4;7;4;7;6;7;6;7;5;7;6;7;7;6;7;4;6;4;6;3;5;5;5;5;4;6;6;5;6;7;6;6;4;5;5;5;5;5;3;6;6;4;5
CMR_M_Masc63;3;6;6;7;5;6;5;7;2;2;7;7;5;6;6;5;7;4;7;2;2;7;7;5;5;4;3;6;2;6;6;3;7;2;6;7;1;5;7;5;6;6;5;3;7;3;5;4;2
CMR_M_Masc64;6;5;3;7;5;6;4;7;5;7;5;6;7;2;6;7;6;6;5;7;7;4;6;4;6;5;4;6;6;4;6;7;6;4;7;4;6;6;5;4;5;6;5;6;4;6;3;4;5
CMR_M_Masc65;7;7;6;6;6;6;5;7;3;7;7;6;7;7;5;7;6;5;7;6;7;5;7;6;7;5;5;7;7;4;7;4;6;4;6;7;4;7;7;6;5;5;4;5;6;7;5;5;5
CMR_M_Masc66;2;5;6;5;6;5;5;5;2;5;4;6;5;5;6;5;4;5;5;6;5;5;5;4;5;4;4;5;4;4;5;5;5;5;5;6;4;4;5;5;5;6;5;6;6;5;5;4;4
CMR_M_Masc67;4;6;3;6;4;5;7;4;3;6;6;6;6;5;6;6;5;6;4;6;7;5;4;4;7;4;6;5;4;4;7;4;4;4;6;6;7;5;4;6;4;6;5;6;5;4;5;3;5
CMR_M_Masc68;6;7;6;7;7;7;7;7;4;7;5;7;5;6;7;6;6;5;6;7;6;7;7;7;7;5;6;7;4;7;7;5;7;4;7;7;4;6;4;7;7;7;4;7;7;7;6;6;7
CMR_M_Masc69;7;6;7;7;7;7;6;7;4;7;6;7;7;7;7;7;7;7;7;6;7;5;7;7;7;6;7;7;7;6;7;7;7;6;7;7;7;7;7;7;5;5;7;6;6;6;7;7;5
CMR_M_Masc70;6;7;6;6;7;6;7;7;6;7;7;7;6;7;7;7;7;7;7;6;6;7;6;6;7;6;7;7;7;7;6;7;7;6;7;7;6;7;6;6;7;7;7;7;7;6;7;7;7
CMR_M_Masc71;5;6;7;7;2;5;1;7;1;7;7;7;7;3;7;6;5;7;7;5;6;5;6;7;6;1;4;7;7;7;6;3;7;6;7;7;3;3;5;7;2;7;5;4;7;5;6;1;4
CMR_M_Masc72;7;6;7;7;7;7;7;7;3;7;7;5;7;6;7;7;7;6;1;7;7;6;6;7;7;4;7;5;5;6;7;7;7;5;7;7;NA;6;7;6;7;6;6;7;6;7;7;1;7
CMR_M_Masc73;6;6;3;6;4;6;5;6;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;4;5;6;5;6;6;6;6;4;6;5;6;5;6;6;6;5;6;4;6;6;6;6;6
CMR_M_Masc74;6;5;7;5;7;6;3;7;3;7;5;7;7;6;6;4;6;7;6;6;6;5;6;5;6;3;4;6;7;6;4;6;7;4;6;7;3;6;6;7;6;5;3;6;6;6;7;4;5
CMR_M_Masc75;6;5;5;6;7;5;5;7;4;7;6;6;7;7;7;6;6;7;7;7;7;4;6;5;7;4;5;6;5;6;7;6;6;5;7;6;6;5;6;6;5;6;4;5;6;6;4;5;5
CMR_M_Masc76;6;5;4;6;7;7;6;7;4;7;5;7;6;7;3;5;2;6;6;4;4;6;3;5;6;2;3;5;7;4;5;7;6;3;7;5;2;3;4;6;6;4;3;4;5;6;5;4;5
CMR_M_Masc77;4;5;5;7;5;6;5;7;1;7;6;7;4;6;7;7;6;7;7;7;7;6;3;6;7;7;6;5;7;6;7;7;7;7;6;7;7;7;2;7;3;6;3;7;5;7;7;2;7
